ID,Reviews_Summary,Prediction
239071,Michigan Cherries,1
466160,Great Product,1
397133,Ovaltine,1
297146,~,1
292685,Love it!,1
513460,Yummy GF cereal,1
248037,Satisfied completely with Amazon purchase,1
93908,perfect chicken mix,1
308107,Best seved cold!!,1
369190,Worth the Price,1
177141,The Best Pizza Flour,1
12728,pie making with sweet rice flour,1
166932,good and cheap,1
106994,Great treats for the treat ball.,1
149769,the babies love it,1
393686,Better than fresh fruit,1
368668,Best bar!!,1
324993,Remember Charlie the Tuna?,1
62855,Best EVER!!!,1
504335,Great Sparkling Apple Soda Drink,1
102842,Dentyne Gum,1
71183,So cute,1
398320,Well done,1
262127,Great as a treat within a well-balanced baby diet,1
465764,the Best dog food!,1
197086,Fresh!,1
268435,Great,1
240968,great product,1
302410,Overall Winner in the Office,1
382895,Taste good and are filling.,1
270465,Great Tasting Maple Syrup,1
73936,my yorkiepoo ate it like a treat... we mixed it with his pedigree,1
462006,Stash brand teas: A personal favorite for 10+ years,1
313616,High Quality Matcha,1
405853,Makes a good cuppa coffee,1
125008,dog loves it!,1
411091,love Twinings decaff!,1
371322,Yummy,1
257332,Yum,1
46050,"Real Chocolate, Fine Quality & Excellent Taste!",1
430030,BEST ever!!!!,1
246611,great white kidney beans,1
1810,"Great taste, less sodium",1
341007,Amazing Flavor,1
208593,Dreams of Orange Chocolate Perfection,1
396721,oils,1
392644,Mrs May's Trio Bars,1
386023,AWESOME!!,1
330268,King of the green,1
237861,Deliciousness!,1
270829,Amy's Organic Lentil Vegetable Low Salt Soup,1
398843,I Like These Cookies!,1
87408,Product quality,1
2337,The best flaxseeds I've ever had,1
31411,My dog Ellie loves these chews!,1
297533,Christmas Delights for the Family,1
66447,Green Superfood,1
450474,MOVIE THEATER POPCORN @ HOME !,1
228133,taste so good!,1
300028,"creamy, delicious",1
285570,Gluten Free Let's You live A Normal Life,1
282708,Great for Tapenade,1
485932,SHIZZLELICIOUS!!,1
498970,Great chips,1
176778,Great taste but...,1
28399,Pop Chips are great,1
330783,great GF pasta,1
468904,Yum Yum,1
52458,A Fantastic Way to Make Cappuccino,1
67273,A GREAT Oatmeal Cookie (and it's Gluten-Free),1
118260,"Great tea, no grittiness, very smooth",1
208174,Great Treat,1
25301,Can't live without it!,1
274179,Potty Problems Gone,1
213174,"I am not a fan of swiss cheese, but this stuff is excellent!",1
376283,Good Stuff!!,1
173925,Still working 2 years later,1
201297,Great little snack for hubby and me,1
372093,it is so delicious!,1
10251,Great crunchy sweet treat,1
4326,Good Stuff,1
512073,Excellent way to get your chocolate fix...,1
99504,Smooth strong coffee...,1
425773,Delicious Marinade,1
343010,Happy Cat,1
267006,This is a WOW bone!,1
147,tasty!,1
66458,Great Price!!!,1
284736,Puppy Loves it,1
157982,Soy Lecithin powerder,1
27790,Great gluten-free option,1
236303,if i had am illion stars it would not be enough,1
500036,K-Cups Coffee,1
213412,LOVE this stuff!,1
277927,A True Delight,1
426174,Always,1
137785,Really good!!,1
251032,Perfect for adding flavor to dry food. Our little dog loves this stuff,1
